lambda_human,generation,entropy
1.0,14,6.288681
1.0,15,6.288681
1.0,16,6.288681
1.0,17,6.288681
1.0,18,6.288681
1.0,19,6.288681
1.0,20,6.288681
1.0,21,6.288681
1.0,22,6.288681
1.0,23,6.288681
1.0,24,6.288681
1.0,25,6.288681
1.0,26,6.288681
1.0,27,6.288681
1.0,28,6.288681
1.0,29,6.288681
1.0,30,6.288681
1.0,31,6.288681
1.0,32,6.288681
1.0,33,6.288681
1.0,34,6.288681
1.0,35,6.288681
1.0,36,6.288681
1.0,37,6.288681
1.0,38,6.288681
1.0,39,6.288681
1.0,40,6.288681
1.0,41,6.288681
1.0,42,6.288681
1.0,43,6.288681
1.0,44,6.288681
1.0,45,6.288681
1.0,46,6.288681
1.0,47,6.288681
1.0,48,6.288681
1.0,49,6.288681
1.0,50,6.288681
1.0,51,6.288681
1.0,52,6.288681
1.0,53,6.288681
1.0,54,6.288681
1.0,55,6.288681
1.0,56,6.288681
1.0,57,6.288681
1.0,58,6.288681
1.0,59,6.288681
1.0,60,6.288681
1.0,61,6.288681
1.0,62,6.288681
1.0,63,6.288681
1.0,64,6.288681
1.0,65,6.288681
1.0,66,6.288681
1.0,67,6.288681
1.0,68,6.288681
1.0,69,6.288681
1.0,70,6.288681
1.0,71,6.288681
1.0,72,6.288681
1.0,73,6.288681
1.0,74,6.288681
1.0,75,6.288681
1.0,76,6.288681
1.0,77,6.288681
1.0,78,6.288681
1.0,79,6.288681
