p,generation,benevolent_fraction
0.9,39,0.526316
0.9,40,0.529101
0.9,41,0.526316
0.9,42,0.518135
0.9,43,0.523560
0.9,44,0.523560
0.9,45,0.515464
0.9,46,0.523560
0.9,47,0.531915
0.9,48,0.510204
0.9,49,0.518135
0.9,50,0.520833
0.9,51,0.520833
0.9,52,0.523560
0.9,53,0.529101
0.9,54,0.529101
0.9,55,0.526316
0.9,56,0.510204
0.9,57,0.537634
0.9,58,0.510204
0.9,59,0.518135
0.9,60,0.520833
0.9,61,0.523560
0.9,62,0.526316
0.9,63,0.520833
0.9,64,0.520833
0.9,65,0.529101
0.9,66,0.515464
0.9,67,0.512821
0.9,68,0.534759
0.9,69,0.526316
0.9,70,0.531915
0.9,71,0.523560
0.9,72,0.526316
0.9,73,0.529101
0.9,74,0.529101
0.9,75,0.534759
0.9,76,0.540541
0.9,77,0.518135
0.9,78,0.520833
0.9,79,0.546448
0.9,80,0.540541
0.9,81,0.526316
0.9,82,0.546448
0.9,83,0.520833
0.9,84,0.531915
0.9,85,0.523560
0.9,86,0.523560
0.9,87,0.512821
0.9,88,0.523560
0.9,89,0.531915
0.9,90,0.529101
0.9,91,0.526316
0.9,92,0.543478
0.9,93,0.515464
0.9,94,0.534759
0.9,95,0.520833
0.9,96,0.534759
0.9,97,0.518135
0.9,98,0.520833
0.9,99,0.518135
